,subject,trial,verb,animacy,block_index,trial_index_in_block,verb_appear,img_path_animacy,feature_appear_animacy,response_animacy,answer_time_animacy
10,444,11,eat,animate,0,10,2026-06-07_17-53-48.665,/Users/tomermuller/Desktop/BMR/BindingMemoryRetrival/src/binding_task/features/animacy/animate_02.jpg,2026-06-07_17-53-51.289,timeout,2026-06-07_17-53-56.299
11,444,12,drive,inanimate,0,11,2026-06-07_17-53-57.522,/Users/tomermuller/Desktop/BMR/BindingMemoryRetrival/src/binding_task/features/animacy/inanimate_02.jpg,2026-06-07_17-54-00.064,timeout,2026-06-07_17-54-05.074
12,444,13,drive,inanimate,1,0,2026-06-07_17-56-06.244,/Users/tomermuller/Desktop/BMR/BindingMemoryRetrival/src/binding_task/features/animacy/inanimate_02.jpg,2026-06-07_17-56-08.390,timeout,2026-06-07_17-56-13.400
13,444,14,eat,animate,1,1,2026-06-07_17-56-14.620,/Users/tomermuller/Desktop/BMR/BindingMemoryRetrival/src/binding_task/features/animacy/animate_02.jpg,2026-06-07_17-56-16.664,timeout,2026-06-07_17-56-21.675
14,444,15,jump,inanimate,1,2,2026-06-07_17-56-22.365,/Users/tomermuller/Desktop/BMR/BindingMemoryRetrival/src/binding_task/features/animacy/inanimate_02.jpg,2026-06-07_17-56-24.815,timeout,2026-06-07_17-56-29.825
15,444,16,write,inanimate,1,3,2026-06-07_17-56-31.055,/Users/tomermuller/Desktop/BMR/BindingMemoryRetrival/src/binding_task/features/animacy/inanimate_01.jpg,2026-06-07_17-56-33.144,up,2026-06-07_17-56-35.415
16,444,17,run,inanimate,1,4,2026-06-07_17-56-36.419,/Users/tomermuller/Desktop/BMR/BindingMemoryRetrival/src/binding_task/features/animacy/inanimate_03.jpg,2026-06-07_17-56-38.444,up,2026-06-07_17-56-40.946
17,444,18,להתקשר,inanimate,1,5,2026-06-07_17-56-42.218,/Users/tomermuller/Desktop/BMR/BindingMemoryRetrival/src/binding_task/features/animacy/inanimate_01.jpg,2026-06-07_17-56-45.049,up,2026-06-07_17-56-47.233
18,444,19,drink,animate,1,6,2026-06-07_17-56-48.212,/Users/tomermuller/Desktop/BMR/BindingMemoryRetrival/src/binding_task/features/animacy/animate_03.jpg,2026-06-07_17-56-51.188,up,2026-06-07_17-56-54.088
19,444,20,read,animate,1,7,2026-06-07_17-56-54.658,/Users/tomermuller/Desktop/BMR/BindingMemoryRetrival/src/binding_task/features/animacy/animate_02.jpg,2026-06-07_17-56-57.583,up,2026-06-07_17-57-02.369
20,444,21,sing,inanimate,1,8,2026-06-07_17-57-03.044,/Users/tomermuller/Desktop/BMR/BindingMemoryRetrival/src/binding_task/features/animacy/inanimate_03.jpg,2026-06-07_17-57-05.201,up,2026-06-07_17-57-07.219
21,444,22,climb,animate,1,9,2026-06-07_17-57-08.615,/Users/tomermuller/Desktop/BMR/BindingMemoryRetrival/src/binding_task/features/animacy/animate_01.jpg,2026-06-07_17-57-10.665,up,2026-06-07_17-57-12.822
22,444,23,swim,animate,1,10,2026-06-07_17-57-14.016,/Users/tomermuller/Desktop/BMR/BindingMemoryRetrival/src/binding_task/features/animacy/animate_03.jpg,2026-06-07_17-57-16.516,up,2026-06-07_17-57-18.898
23,444,24,cook,animate,1,11,2026-06-07_17-57-19.825,/Users/tomermuller/Desktop/BMR/BindingMemoryRetrival/src/binding_task/features/animacy/animate_01.jpg,2026-06-07_17-57-22.171,up,2026-06-07_17-57-24.380
24,444,25,jump,inanimate,2,0,2026-06-07_17-59-11.562,/Users/tomermuller/Desktop/BMR/BindingMemoryRetrival/src/binding_task/features/animacy/inanimate_02.jpg,2026-06-07_17-59-14.136,up,2026-06-07_17-59-17.046
25,444,26,sing,inanimate,2,1,2026-06-07_17-59-17.726,/Users/tomermuller/Desktop/BMR/BindingMemoryRetrival/src/binding_task/features/animacy/inanimate_03.jpg,2026-06-07_17-59-19.757,up,2026-06-07_17-59-22.266
26,444,27,swim,animate,2,2,2026-06-07_17-59-22.983,/Users/tomermuller/Desktop/BMR/BindingMemoryRetrival/src/binding_task/features/animacy/animate_03.jpg,2026-06-07_17-59-25.312,up,2026-06-07_17-59-27.582
